[24/Jul/2023:11:50:59 +0000] 404 - POST http localhost "/v1/Deleteuser" [Client 127.0.0.1] [Length 150] [Gzip -] "curl/7.64.0" "-"
[24/Jul/2023:13:29:33 +0000] 200 - GET http localhost "/" [Client 172.21.0.1] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[24/Jul/2023:13:39:25 +0000] 304 - GET http localhost "/" [Client 172.21.0.1] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[24/Jul/2023:13:39:26 +0000] 304 - GET http localhost "/" [Client 172.21.0.1] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[24/Jul/2023:13:39:26 +0000] 304 - GET http localhost "/" [Client 172.21.0.1] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[24/Jul/2023:13:40:19 +0000] 304 - GET http localhost "/" [Client 172.21.0.1] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[24/Jul/2023:13:56:33 +0000] 404 - GET http 127.0.0.1 "/Deleteuser" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[24/Jul/2023:20:39:56 +0000] 400 - - http localhost "-" [Client 172.21.0.1] [Length 154] [Gzip -] "-" "-"
[24/Jul/2023:20:39:56 +0000] 400 - - http localhost "-" [Client 172.21.0.1] [Length 154] [Gzip -] "-" "-"
[26/Jul/2023:08:20:33 +0000] 200 - GET http localhost "/" [Client 172.21.0.1] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[26/Jul/2023:20:11:30 +0000] 200 - GET http 127.0.0.1 "/" [Client 172.21.0.1] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:13:51:47 +0000] 200 - GET http adduser.myapp.com "/" [Client 172.21.0.1] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://localhost:81/"
[27/Jul/2023:14:10:52 +0000] 200 - GET http adduser.myapp.com "/" [Client 172.21.0.1] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://localhost:81/"
[27/Jul/2023:14:32:10 +0000] 403 - GET http adduser.myapp.com "/?rd=http://dockerhost.company.local:8089/;" [Client 172.21.0.1] [Length 182] [Gzip 3.23] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://auth.myapp.com/"
[27/Jul/2023:16:12:47 +0000] 404 - GET http adduser.myapp.com "/adduser" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:16:15:36 +0000] 404 - GET http adduser.myapp.com "/adduser" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:16:15:45 +0000] 404 - GET http adduser.myapp.com "/adduser" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:16:16:36 +0000] 404 - GET http adduser.myapp.com "/adduser" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:16:17:21 +0000] 404 - GET http adduser.myapp.com "/adduser" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:16:18:41 +0000] 404 - GET http adduser.myapp.com "/adduser" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:16:18:42 +0000] 404 - GET http adduser.myapp.com "/adduser" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:16:18:42 +0000] 404 - GET http adduser.myapp.com "/adduser" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:16:18:42 +0000] 404 - GET http adduser.myapp.com "/adduser" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:16:18:42 +0000] 404 - GET http adduser.myapp.com "/adduser" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:16:20:35 +0000] 403 - GET http adduser.myapp.com "/?rd=http://dockerhost.company.local:8089/;" [Client 172.21.0.1] [Length 182] [Gzip 3.23] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://auth.myapp.com/"
[27/Jul/2023:16:22:09 +0000] 404 - GET http adduser.myapp.com "/authelia" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:16:28:25 +0000] 200 - GET http add.myapp.com "/" [Client 172.21.0.1] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://localhost:81/"
